iter	Passed	Remaining
0	2	1234
1	4	1146
2	7	1273
3	10	1302
4	13	1317
5	15	1243
6	17	1235
7	19	1207
8	21	1181
9	23	1146
10	25	1139
11	27	1134
12	30	1125
13	32	1119
14	34	1121
15	36	1118
16	39	1123
17	41	1121
18	43	1107
19	46	1105
20	48	1101
21	50	1107
22	53	1107
23	56	1112
24	58	1112
25	60	1109
26	63	1106
27	65	1106
28	68	1107
29	70	1105
30	72	1098
31	74	1083
32	76	1080
33	78	1075
34	81	1077
35	83	1080
36	86	1079
37	88	1072
38	90	1068
39	92	1067
40	94	1063
41	97	1061
42	99	1060
43	115	1199
44	118	1194
45	120	1191
46	131	1266
47	133	1260
48	136	1256
49	137	1241
50	140	1233
51	142	1231
52	145	1226
53	147	1221
54	150	1217
55	153	1214
56	155	1206
57	157	1198
58	159	1190
59	161	1186
60	164	1181
61	166	1174
62	168	1168
63	170	1161
64	172	1156
65	174	1149
66	177	1145
67	179	1139
68	180	1128
69	182	1121
70	184	1115
71	186	1108
72	188	1104
73	189	1092
74	192	1090
75	194	1085
76	196	1080
77	198	1075
78	201	1072
79	203	1068
80	205	1064
81	208	1060
82	210	1055
83	212	1051
84	214	1046
85	216	1041
86	217	1033
87	219	1028
88	222	1026
89	224	1021
90	226	1017
91	228	1012
92	230	1009
93	232	1005
94	235	1002
95	237	998
96	239	995
97	242	992
98	244	991
99	247	988
100	249	985
101	251	981
102	254	979
103	256	976
104	258	973
105	261	971
106	264	969
107	266	967
108	268	963
109	270	960
110	271	952
111	273	949
112	276	945
113	278	942
114	280	939
115	282	936
116	284	932
117	285	925
118	288	922
119	290	918
120	292	916
121	294	912
122	296	909
123	298	905
124	300	902
125	303	899
126	305	897
127	307	894
128	309	890
129	312	888
130	314	884
131	316	881
132	318	878
133	320	876
134	323	873
135	325	870
136	327	868
137	330	866
138	332	864
139	334	860
140	337	858
141	338	853
142	340	850
143	342	846
144	344	843
145	346	840
146	351	843
147	354	842
148	356	839
149	357	834
150	359	831
151	361	827
152	363	824
153	366	822
154	367	818
155	369	814
156	371	811
157	373	809
158	375	804
159	377	802
160	379	800
161	382	798
162	384	795
163	386	792
164	388	789
165	391	787
166	393	784
167	395	781
168	397	778
169	399	775
170	401	772
171	403	769
172	406	767
173	408	764
174	410	762
175	413	761
176	415	758
177	417	755
178	419	752
179	422	750
180	423	745
181	425	743
182	427	741
183	430	739
184	432	736
185	434	734
186	436	731
187	438	728
188	441	726
189	443	723
190	445	720
191	447	718
192	449	715
193	452	713
194	454	710
195	457	708
196	459	706
197	461	703
198	463	701
199	465	698
200	468	696
201	470	694
202	473	692
203	475	689
204	477	687
205	479	684
206	482	683
207	484	680
208	486	677
209	488	675
210	491	672
211	493	670
212	495	667
213	497	665
214	499	662
215	502	660
216	504	658
217	506	655
218	508	653
219	511	650
220	513	648
221	515	645
222	518	643
223	520	640
224	522	638
225	524	635
226	526	633
227	528	630
228	530	628
229	533	626
230	535	623
231	537	621
232	539	618
233	541	616
234	543	613
235	545	610
236	548	608
237	549	604
238	550	601
239	552	598
240	554	596
241	556	593
242	559	591
243	561	589
244	580	603
245	582	600
246	583	598
247	586	595
248	588	593
249	591	591
250	593	588
251	595	586
252	598	584
253	600	581
254	602	579
255	604	576
256	606	573
257	608	571
258	611	568
259	613	565
260	615	563
261	617	560
262	619	558
263	621	555
264	624	553
265	626	550
266	628	548
267	630	545
268	632	543
269	634	540
270	637	538
271	639	535
272	641	533
273	643	531
274	645	528
275	647	525
276	649	523
277	651	520
278	653	517
279	656	515
280	658	513
281	660	510
282	663	508
283	665	505
284	667	503
285	669	500
286	671	498
287	673	495
288	675	493
289	678	491
290	679	488
291	681	485
292	683	483
293	686	480
294	687	478
295	690	475
296	691	472
297	693	470
298	695	467
299	698	465
300	698	461
301	700	459
302	703	457
303	705	454
304	707	452
305	709	449
306	711	447
307	714	445
308	716	442
309	718	440
310	720	438
311	733	441
312	735	439
313	738	437
314	740	434
315	743	432
316	745	430
317	748	428
318	750	426
319	753	423
320	754	420
321	756	418
322	758	415
323	760	413
324	762	410
325	765	408
326	766	405
327	768	403
328	770	400
329	772	398
330	774	395
331	776	393
332	779	390
333	781	388
334	783	385
335	785	383
336	787	380
337	789	378
338	792	376
339	794	373
340	796	371
341	798	368
342	800	366
343	802	364
344	804	361
345	807	359
346	810	357
347	812	354
348	814	352
349	816	349
350	817	347
351	820	344
352	821	342
353	823	339
354	825	337
355	827	334
356	830	332
357	831	329
358	833	327
359	835	325
360	838	322
361	840	320
362	843	318
363	845	315
364	847	313
